date,description,event_type,disruption_type,deaths,total_injuries,cancellation,country,city_region,source_s,event_type_agg,disruption_type_agg
2000-02-18,"NASCAR Trucks race | crash injuries, stopped",Race,Accidental incident (non-structural),0,11,1,United States,Daytona,https://www.cbsnews.com/news/bodine-stable-after-crash/,Race,Accidental and technical failures
2000-06-30,Roskilde Festival | attendee fatality,Music festival,Crowd-related Incident,9,26,1,Denmark,Roskilde,https://www.theguardian.com/world/2000/jul/02/burhanwazir.theobserver,Music festival,Crowd and behavioral incidents
2000-08-06,Festival Oasis incident,Music festival,Violence - non-terror,0,0,1,Portugal,Odemira,http://news.bbc.co.uk/2/hi/entertainment/871273.stm,Music festival,Violence and security-related incidents
2000-09-10,Italian Grand Prix (F1) | marshal fatality,Race,Accidental incident (non-structural),1,NA,NA,Italy,Monza,https://www.grandprix.com/news/italian-f1-races-threatened-by-death-of-monza-marshal.html,Race,Accidental and technical failures
2001-01-26,Big Day Out festival | crowd crush,Music festival,Crowd-related Incident,1,0,0,Australia,Sydney,"https://abcnews.go.com/Entertainment/story?id=110134&page=1#:~:text=ByABC%20News,among%20the%20crowd%20of%2020%2C000.",Music festival,Crowd and behavioral incidents
2001-02-18,Daytona 500 | driver fatality (Dale Earnhardt Sr.),Race,Accidental incident (non-structural),1,0,0,United States,Daytona,https://sports.yahoo.com/deseret-news-archives-dale-earnhardt-180205409.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAMYnQCQ3Pbqb7e6v_BNzmAjk5Ky-YfNGkMvpFT_CrPmuIeM7OUfEErmiFh9qGEDZ68InzVExQg9ZFBO_QFMyHVaU8yOO-WihQV5m5o8p6Q0ydLHwNhks0wnDPLQoknDXlUmooFe1vfkErNMKE1fISl0LpovA4Lw0RaAS7-q-o6zf,Race,Accidental and technical failures
2001-03-11,Australian Grand Prix (F1) | marshal fatality | circuit,Race,Accidental incident (non-structural),1,13,0,Australia,Melbourne,https://www.cbc.ca/sports/schumacher-wins-aussie-gp-villeneuve-crash-kills-official-1.280825,Race,Accidental and technical failures
2001-06-26,Beethavean Scottland vs George Khalid Jones (box) | athlete fatality,Sports event,Medical emergency - Performer,1,0,1,United States,New York,https://www.latimes.com/archives/la-xpm-2001-jul-04-sp-18668-story.html,Sports event,Medical emergencies
2002-03-16,Columbus Blue Jackets vs Calgary Flames | spectator fatality from puck impact,Sports event,Accidental incident (non-structural),1,0,0,United States,Columbus,https://web.archive.org/web/20090830114710/http://sportsillustrated.cnn.com/vault/article/magazine/MAG1025413/index.htm,Sports event,Accidental and technical failures
2002-08-18,Death in bullfight of the Arruda dos Vinhos festivities.,Show,Medical emergency - Performer,1,0,0,Portugal,Lisbon,https://www.cmjornal.pt/cm-ao-minuto/detalhe/pega-mortal-para-forcado,Other live entertainment,Medical emergencies
2002-08-20,Ilha do Ermal festival - Nickelback incident,Music festival,Violence - non-terror,0,0,1,Portugal,Vila Nova de Gai,https://www.publico.pt/2002/08/20/culturaipsilon/noticia/nickelback-corridos-do-palco-do-ermal-170805#,Music festival,Violence and security-related incidents
2002-08-24,Leeds Carling Festival | riots and violence,Music festival,Violence - non-terror,1,44,0,United Kingdom,Leeds,http://news.bbc.co.uk/2/hi/uk_news/england/2777823.stm,Music festival,Violence and security-related incidents
2003-02-20,Great White concert | fire fatalities | Station Nightclub,Concert,Fire,100,230,1,United States,Rhode Island,https://www.cbsnews.com/news/the-station-nightclub-fire-rhode-island-what-happened-and-whos-to-blame/,Concert,Environmental and external incidents
2003-04-06,Japanese Motorcycle Grand Prix | rider fatality (Daijiro Kato),Race,Accidental incident (non-structural),1,NA,NA,Japan,Suzuka,https://www.abc.net.au/news/2003-04-20/kato-loses-fight-for-life/1839488?utm_source=chatgpt.com,Race,Accidental and technical failures
2003-06-23,Cameroon vs  Colombia Confederations Cup semi-final football match | player fatality (Marc-Vivien Foé),Sports event,Medical emergency - Performer,1,0,1,France,Lyon,https://www.theguardian.com/world/2003/jun/26/football,Sports event,Medical emergencies
2003-08-31,Burning Man | attendee death,Music festival,Accidental incident (non-structural),1,0,0,United States,Las Vegas,https://www.reviewjournal.com/local/local-nevada/woman-killed-in-burning-man-accident-from-wyoming/,Music festival,Accidental and technical failures
2003-11-26,"""Waiting For Godot"" theatre performance | performer fatality (Gordon Reid)",Theater play,Medical emergency - Performer,1,0,1,United Kingdom,London,https://www.heraldscotland.com/news/12525697.gordon-reid/,Other live entertainment,Medical emergencies
